AUD,австралийский доллар,австралийского доллара
AZN,азербайджанский манат,азербайджанского маната
AMD,армянский драм,армянского драма,драм,драма
BYN,белорусский рубль,белорусского рубля
BGN,болгарский лев,болгарского лева,лев,лева
BRL,бразильский реал,бразильского реала,реал,реала
HUF,венгерский форинт,венгерского форинта,форинт,форинта
KRW,вона республики корея,воны республики корея,вона,воны
VND,вьетнамский донг,вьетнамского донга,донг,донга
HKD,гонконгский доллар,гонконгского доллара
GEL,грузинский лари,грузинского лари,лари
DKK,датская крона,датской кроны
AED,дирхам оаэ,дирхама оаэ,дирхам,дирхама
USD,доллар сша,доллара сша,доллар,доллара
EUR,евро,евро
EGP,египетский фунт,египетского фунта
INR,индийская рупия,индийской рупии,рупия,рупии
IDR,индонезийская рупия,индонезийской рупии
KZT,казахстанский тенге,казахстанского тенге,тенге
CAD,канадский доллар,канадского доллара
QAR,катарский риал,катарского риала
KGS,киргизский сом,киргизского сома,сом,сома
CNY,китайский юань,китайского юаня,юань,юаня
MDL,молдавский лей,молдавского лея
NZD,новозеландский доллар,новозеландского доллара
TMT,новый туркменский манат,нового туркменского маната,туркменский манат,туркменского маната
NOK,норвежская крона,норвежской кроны
PLN,польский злотый,польского злотого,злотый,злотого
RON,румынский лей,румынского лея
XDR,сдр (специальные права заимствования),сдр
RSD,сербский динар,сербского динара,динар,динара
SGD,сингапурский доллар,сингапурского доллара
TJS,таджикский сомони,таджикского сомони,сомони
THB,таиландский бат,таиландского бата,бат,бата
TRY,турецкая лира,турецкой лиры,лира,лиры
UZS,узбекский сум,узбекского сума,сум,сума
UAH,украинская гривна,украинской гривны,гривна,гривны
GBP,фунт стерлингов соединенного королевства,фунта стерлингов соединенного королевства,фунт стерлингов,фунта стерлингов,фунт,фунта
CZK,чешская крона,чешской кроны
SEK,шведская крона,шведской кроны
CHF,швейцарский франк,швейцарского франка,франк,франка
ZAR,южноафриканский рэнд,южноафриканского рэнда,рэнд,рэнда
JPY,японская иена,японской иены,японская йена,японской йены,иена,иены,йена,йены